tier,channel,dewlab_strands,why,videos_catalogued,picks,picks_A,category,youtube_url,nebula_url
2 selective,Quanta Magazine,computer science research,Research news; P vs NP and yearly breakthroughs round-ups are the main fits.,157,11,0,Science & discovery,https://www.youtube.com/@QuantaScienceChannel,
2 selective,LaurieWired,low-level computing; assembly,"Mostly reverse engineering and malware; a few videos on memory, stack overflows and sorting.",92,10,0,AI & computer science,https://www.youtube.com/@lauriewired,
2 selective,Artem Kirsanov,neuroscience; curve fitting,Computational neuroscience; curve fitting and differential equations are the fits.,51,8,0,AI & computer science,https://www.youtube.com/@ArtemKirsanov,
2 selective,DevDuck,project practice; game development,Devlogs on organising and finishing a personal project.,124,8,0,AI & computer science,https://www.youtube.com/@DevDuck,
2 selective,TheGrayCuber,number systems; complex numbers,"Playful, abstract maths; occasional fits (strange bases, angle-sum identities).",54,8,0,Mathematics,https://www.youtube.com/@TheGrayCuber,
2 selective,Google DeepMind,AI history,AlphaGo documentary and lecture series; institutional perspective.,379,5,0,AI & computer science,https://www.youtube.com/@googledeepmind,
2 selective,Algorithmic Simplicity,neural networks,Neural networks and transformers from scratch; mostly beyond dewlab's level.,7,4,0,AI & computer science,https://www.youtube.com/@algorithmicsimplicity,
2 selective,Applied Science,instruments; optics,Almost all lab builds; one integration-without-calculus demo fits.,276,4,0,Making & engineering,https://www.youtube.com/@AppliedScience,
2 selective,braintruffle,simulation; orbits; traffic,Long simulation-led explainers; more for authors than learners.,11,4,0,Science & discovery,https://www.youtube.com/@braintruffle,
2 selective,Fractal Philosophy,simulation; complex systems,Long essays; simulating empires is the main build seed.,10,4,0,AI & computer science,https://www.youtube.com/@FractalPhilosophy,
2 selective,Morphocular,complex numbers; analysis,Beautiful but mostly university-level; a few complex-number videos.,18,4,0,Mathematics,https://www.youtube.com/@morphocular,
2 selective,Sam Levey,statistics; linear algebra,"Manim explainers on n-1, projection and transpose.",10,4,0,Economics & business,https://www.youtube.com/@samlevey3263,
2 selective,"Ben, Ben and Blue",teaching,Podcast by Grant Sanderson and Ben Eater on teaching; for teachers rather than learners.,13,3,0,Education & learning,https://www.youtube.com/@BenBenandBlue,
2 selective,Julia Turc,large language models,LLM internals; quantisation videos touch number representation.,28,3,0,AI & computer science,https://www.youtube.com/@juliaturc1,
2 selective,Grant Sanderson,talks; teaching,Talks and interviews; the SIGGRAPH talk on programmatic visuals is relevant to authors.,16,0,0,Mathematics,https://www.youtube.com/@GrantSanderson,
2 selective,Hannah Fry,shorts,Almost entirely Shorts; nothing to link yet.,14,0,0,Mathematics,https://www.youtube.com/@fryrsquared,
2 selective,Math Visualized,advanced maths,"Four videos, all beyond dewlab's level.",4,0,0,Mathematics,https://www.youtube.com/@mathvisualized355,
2 selective,Siliconversations,AI commentary,AI policy commentary; nothing to link.,54,0,0,Science & discovery,https://www.youtube.com/@Siliconversations,
2 selective,Terence Tao,proof tools,"Lean formalisation screencasts; for authors interested in proof tools, not learners.",6,0,0,Mathematics,https://www.youtube.com/@TerenceTao27,
3 not yet reviewed,Aaed Musa,,Robot builds.,,,,Making & engineering,https://www.youtube.com/@aaedmusa,
3 not yet reviewed,Be Smart,,Broad science questions.,,,,Science & discovery,https://www.youtube.com/@besmart,
3 not yet reviewed,Breaking Taps,,Materials and machining. On Nebula.,,,,Making & engineering,https://www.youtube.com/@BreakingTaps,https://nebula.tv/breakingtaps/
3 not yet reviewed,CGP Grey,,Explainers; voting systems and calendars videos may fit.,,,,Education & learning,https://www.youtube.com/@CGPGrey,
3 not yet reviewed,Cleo Abram,,Technology journalism; occasional computing explainers.,,,,Technology & gadgets,https://www.youtube.com/@CleoAbram,
3 not yet reviewed,Complexly,,Studio channel behind CrashCourse.,,,,Education & learning,https://www.youtube.com/@complexly,
3 not yet reviewed,David Imel,,Mixed topics.,,,,Unclassified,https://www.youtube.com/@DavidImel,
3 not yet reviewed,ElectroBOOM,,Electrical demonstrations.,,,,Making & engineering,https://www.youtube.com/@ElectroBOOM,
3 not yet reviewed,Epic Spaceman,,Scale of the universe; orders of magnitude.,,,,Science & discovery,https://www.youtube.com/@EpicSpaceman,
3 not yet reviewed,Hank Green,,Science commentary.,,,,Science & discovery,https://www.youtube.com/@hankschannel,
3 not yet reviewed,Integza,,Experimental builds.,,,,Making & engineering,https://www.youtube.com/@integza,https://nebula.tv/integza/
3 not yet reviewed,Jeremy Fielding,,Mechanical builds.,,,,Making & engineering,https://www.youtube.com/@Jeremy_Fielding,
3 not yet reviewed,Kurzgesagt – In a Nutshell,,Broad animated science; occasional exponential-growth or scale videos.,,,,Science & discovery,https://www.youtube.com/@kurzgesagt,
3 not yet reviewed,MinuteEarth,,Earth science; occasional data videos.,,,,Science & discovery,https://www.youtube.com/@MinuteEarth,
3 not yet reviewed,Not David,,Irreverent science. On Nebula.,,,,Science & discovery,https://www.youtube.com/@not_David,https://nebula.tv/notdavid/
3 not yet reviewed,Posy,,Geeky explorations; colour and signage videos may fit.,,,,Science & discovery,https://www.youtube.com/@PosyMusic,
3 not yet reviewed,Rabbit Hole,,Everyday questions.,,,,Science & discovery,https://www.youtube.com/@rabbithole,
3 not yet reviewed,Real Engineering,,Engineering explainers; occasional data or physics. On Nebula.,,,,Making & engineering,https://www.youtube.com/@RealEngineering,https://nebula.tv/realengineering/
3 not yet reviewed,SciencePetr,,Science communication; ex-Veritasium.,,,,Science & discovery,https://www.youtube.com/@SciencePetr,
3 not yet reviewed,Sciencium,,History of discoveries.,,,,Science & discovery,https://www.youtube.com/@sciencium,
3 not yet reviewed,SciShow,,Broad science; occasional probability or data items.,,,,Science & discovery,https://www.youtube.com/@SciShow,
3 not yet reviewed,Stuff Made Here,,Engineering builds with software; project inspiration.,,,,Making & engineering,https://www.youtube.com/@StuffMadeHere,
3 not yet reviewed,Technology Connextras,,Secondary channel of Technology Connections.,,,,Technology & gadgets,https://www.youtube.com/@TechnologyConnextras,
4 out of scope,About Here,,Outside dewlab's subjects (cities & architecture).,,,,Cities & architecture,https://www.youtube.com/@AboutHere,
4 out of scope,acapellascience,,Outside dewlab's subjects (music).,,,,Music,https://www.youtube.com/@acapellascience,
4 out of scope,Adam Neely,,Outside dewlab's subjects (music).,,,,Music,https://www.youtube.com/@AdamNeely,https://nebula.tv/adam-neely/
4 out of scope,Adam Ragusea,,Outside dewlab's subjects (food & coffee).,,,,Food & coffee,https://www.youtube.com/@aragusea,
4 out of scope,Ant Lab,,Outside dewlab's subjects (science & discovery).,,,,Science & discovery,https://www.youtube.com/@AntLab,
4 out of scope,ASTRO ALEXANDRA,,Outside dewlab's subjects (science & discovery).,,,,Science & discovery,https://www.youtube.com/@ASTRO_ALEXANDRA,
4 out of scope,Bizarre Beasts,,Outside dewlab's subjects (science & discovery).,,,,Science & discovery,https://www.youtube.com/@BizarreBeasts,
4 out of scope,Christophe,,Outside dewlab's subjects (politics & journalism).,,,,Politics & journalism,https://www.youtube.com/@christophe,
4 out of scope,Climate Town,,Outside dewlab's subjects (climate & environment).,,,,Climate & environment,https://www.youtube.com/@ClimateTown,https://nebula.tv/climatetown/
4 out of scope,ClimateAdam,,Outside dewlab's subjects (climate & environment).,,,,Climate & environment,https://www.youtube.com/@ClimateAdam,
4 out of scope,Dinge Erklärt – Kurzgesagt,,Outside dewlab's subjects (science & discovery).,,,,Science & discovery,https://www.youtube.com/@KurzgesagtDE,
4 out of scope,Hoog,,Outside dewlab's subjects (cities & architecture).,,,,Cities & architecture,https://www.youtube.com/@hoog-youtube,
4 out of scope,human1011,,Outside dewlab's subjects (history & humanities).,,,,History & humanities,https://www.youtube.com/@humanteneleven,
4 out of scope,John Green,,Outside dewlab's subjects (unclassified).,,,,Unclassified,https://www.youtube.com/@johnschannel1007,
4 out of scope,Johnny Harris,,Outside dewlab's subjects (politics & journalism).,,,,Politics & journalism,https://www.youtube.com/@johnnyharris,https://nebula.tv/johnnyharris/
4 out of scope,Journey to the Microcosmos,,Outside dewlab's subjects (science & discovery).,,,,Science & discovery,https://www.youtube.com/@journeytomicro,
4 out of scope,Just Have a Think,,Outside dewlab's subjects (climate & environment).,,,,Climate & environment,https://www.youtube.com/@JustHaveaThink,
4 out of scope,Kyla Scanlon,,Outside dewlab's subjects (economics & business).,,,,Economics & business,https://www.youtube.com/@KylaScanlon,
4 out of scope,NileRed,,Outside dewlab's subjects (science & discovery).,,,,Science & discovery,https://www.youtube.com/@NileRed,https://nebula.tv/nilered/
4 out of scope,Not An Engineer,,Outside dewlab's subjects (making & engineering).,,,,Making & engineering,https://www.youtube.com/@NoEngineerHere,
4 out of scope,Not Just Bikes,,Outside dewlab's subjects (cities & architecture).,,,,Cities & architecture,https://www.youtube.com/@NotJustBikes,https://nebula.tv/notjustbikes/
4 out of scope,PBS Eons,,Outside dewlab's subjects (science & discovery).,,,,Science & discovery,https://www.youtube.com/@eons,
4 out of scope,Philosophy Tube,,Outside dewlab's subjects (history & humanities).,,,,History & humanities,https://www.youtube.com/@PhilosophyTube,https://nebula.tv/philosophytube/
4 out of scope,Pop Culture Detective,,Outside dewlab's subjects (arts & media criticism).,,,,Arts & media criticism,https://www.youtube.com/@PopCultureDetective,
4 out of scope,Rutger Bregman,,Outside dewlab's subjects (history & humanities).,,,,History & humanities,https://www.youtube.com/@rutger.bregman,
4 out of scope,Sarah Davis Baker,,Outside dewlab's subjects (arts & media criticism).,,,,Arts & media criticism,https://www.youtube.com/@sarahdavisbaker,https://nebula.tv/sarahdavisbaker/
4 out of scope,Scott Walsh,,Outside dewlab's subjects (woodworking & furniture).,,,,Woodworking & furniture,https://www.youtube.com/@ScottWalshWoodworking,
4 out of scope,Sideways,,Outside dewlab's subjects (music).,,,,Music,https://www.youtube.com/@Sideways440,
4 out of scope,Simon Clark,,Outside dewlab's subjects (climate & environment).,,,,Climate & environment,https://www.youtube.com/@SimonClark,https://nebula.tv/simonclark/
4 out of scope,Stephanie Sammann,,Outside dewlab's subjects (science & discovery).,,,,Science & discovery,https://www.youtube.com/@Stephanie-Sammann,https://nebula.tv/stephaniesammann/
4 out of scope,Stewart Hicks,,Outside dewlab's subjects (cities & architecture).,,,,Cities & architecture,https://www.youtube.com/@stewarthicks,https://nebula.tv/stewarthicks/
4 out of scope,Study Hall,,Outside dewlab's subjects (education & learning).,,,,Education & learning,https://www.youtube.com/@studyhall,
4 out of scope,The Art Assignment,,Outside dewlab's subjects (arts & media criticism).,,,,Arts & media criticism,https://www.youtube.com/@theartassignment,
4 out of scope,The Market Exit,,Outside dewlab's subjects (economics & business).,,,,Economics & business,https://www.youtube.com/@TheMarketExit,
4 out of scope,TrueFactsEducational,,Outside dewlab's subjects (science & discovery).,,,,Science & discovery,https://www.youtube.com/@truefactseducational9288,
4 out of scope,Ze Frank,,Outside dewlab's subjects (science & discovery).,,,,Science & discovery,https://www.youtube.com/@zefrank,
4 out of scope,zentouro,,Outside dewlab's subjects (climate & environment).,,,,Climate & environment,https://www.youtube.com/@zentouro,
4 out of scope,Ziroth,,Outside dewlab's subjects (climate & environment).,,,,Climate & environment,https://www.youtube.com/@ZirothTech,
