priority,use,topics,dewlab_tutorials,channel,title,note,minutes,format,url,nebula_url,views,video_id
A,build seed,algorithms & complexity; graphs & pathfinding; games & puzzles,project-ideas; mixed-algorithms-that-scale,AlphaPhoenix,How to Win Snake: The UNKILLABLE Snake AI,How to win Snake: the unkillable snake AI (Hamiltonian cycles),17.1,explainer,https://www.youtube.com/watch?v=TOpBcfbAgPg,,2200000,TOpBcfbAgPg
A,companion,algorithms & complexity; history,recipes-are-algorithms; where-programming-came-from,Answer in Progress,the entire history of the algorithm in 47 minutes,The entire history of the algorithm in 47 minutes,47.5,investigation,https://www.youtube.com/watch?v=r1N81RRQ4ec,,655000,r1N81RRQ4ec
A,companion,algorithms & complexity; sorting,putting-things-in-order; racing-the-sorts; recipes-are-algorithms,CrashCourse,Intro to Algorithms: Crash Course Computer Science #13,"Computer Science 13: intro to algorithms (sorting, graph search)",11.7,lesson series,https://www.youtube.com/watch?v=rL8X2mlNHPM,,1900000,rL8X2mlNHPM
A,companion,algorithms & complexity; recursion & fractals,three-ways-to-make-change,Reducible,5 Simple Steps for Solving Dynamic Programming Problems,Five steps for dynamic programming problems,21.4,explainer,https://www.youtube.com/watch?v=aPQY__2H3tE,,1500000,aPQY__2H3tE
A,companion,algorithms & complexity,racing-the-sorts; finding-things-fast,Reducible,What Is Big O Notation?,What is Big O notation?,17.8,explainer,https://www.youtube.com/watch?v=Q_1M2JaijjQ,,337000,Q_1M2JaijjQ
A,build seed,algorithms & complexity; recursion & fractals; games & puzzles,a-function-that-calls-itself,Sebastian Lague,Algorithms Explained – minimax and alpha-beta pruning,Minimax and alpha-beta pruning explained in 11 minutes,11.0,coding project,https://www.youtube.com/watch?v=l-hh51ncgDI,,1400000,l-hh51ncgDI
A,build seed,algorithms & complexity; games & puzzles,three-ways-to-make-change; project-ideas,Sebastian Lague,Coding Adventure: Chess,"Coding a chess engine: search, pruning, representation",29.4,coding project,https://www.youtube.com/watch?v=U4ogK0MIzqk,https://nebula.tv/videos/sebastianlague-coding-adventure-chess/,4200000,U4ogK0MIzqk
A,companion,algorithms & complexity,racing-the-sorts; finding-things-fast,SimonDev,"What Big-O notation ACTUALLY tells you, and how I almost failed my Google Interview",What Big O tells you (and what it does not),10.8,coding project,https://www.youtube.com/watch?v=gCzOhZ_LUps,,384000,gCzOhZ_LUps
A,companion,algorithms & complexity; recursion & fractals,three-ways-to-make-change,SimonDev,What can “The Simpsons” teach us about Dynamic Programming?,What The Simpsons teaches about dynamic programming,15.1,coding project,https://www.youtube.com/watch?v=6z4ePR7YYa8,,102000,6z4ePR7YYa8
A,companion,algorithms & complexity; probability; counting & combinatorics,three-ways-to-make-change; counting-every-outfit,Spanning Tree,How to Count Dice Rolls - An Introduction to Dynamic Programming,Counting dice rolls: an introduction to dynamic programming,9.4,explainer,https://www.youtube.com/watch?v=oifN-YVlrq8,,164000,oifN-YVlrq8
A,build seed,algorithms & complexity; recursion & fractals; games & puzzles,a-function-that-calls-itself,Spanning Tree,Minimax: How Computers Play Games,Minimax: how computers play games,14.6,explainer,https://www.youtube.com/watch?v=SLgZhpDsrfc,,271000,SLgZhpDsrfc
A,companion,algorithms & complexity; programming practice,racing-the-sorts; mixed-algorithms-that-scale,Stand-up Maths,"Someone improved my code by 40,832,277,770%","Someone improved my code by 40,832,277,770 per cent",28.8,explainer,https://www.youtube.com/watch?v=c33AZBnRHks,,3000000,c33AZBnRHks
A,build seed,algorithms & complexity; recursion & fractals; games & puzzles,a-function-that-calls-itself,Steve Mould,Minimax and 2048 game strategy,Minimax and 2048 game strategy (7 min),7.9,explainer,https://www.youtube.com/watch?v=6RKJNHHZuuo,,24000,6RKJNHHZuuo
A,companion,binary & number representation; recursion & fractals,a-function-that-calls-itself; everything-is-ones-and-zeros,3Blue1Brown,"Binary, Hanoi and Sierpinski, part 1","Binary, Towers of Hanoi and Sierpinski, part 1",14.0,explainer,https://www.youtube.com/watch?v=2SUvWfNJSsM,,771000,2SUvWfNJSsM
A,companion,binary & number representation; recursion & fractals,a-function-that-calls-itself,3Blue1Brown,"Binary, Hanoi, and Sierpinski, part 2","Binary, Hanoi and Sierpinski, part 2",13.7,explainer,https://www.youtube.com/watch?v=bdMfjfT0lKk,,327000,bdMfjfT0lKk
A,companion,binary & number representation,everything-is-ones-and-zeros,3Blue1Brown,How to count to 1000 on two hands,Counting to 1000 on two hands in binary,2.6,explainer,https://www.youtube.com/watch?v=1SMmc9gQmHQ,,454000,1SMmc9gQmHQ
A,companion,binary & number representation; programming practice,everything-is-ones-and-zeros; numbers-a-computer-can-hold,Ben Eater,"Binary to decimal can’t be that hard, right?","Binary to decimal can't be that hard, right?",42.4,build / tutorial,https://www.youtube.com/watch?v=v3-a-zqKfgA,,900000,v3-a-zqKfgA
A,companion,binary & number representation,how-a-computer-stores-a-number; numbers-a-computer-can-hold,Ben Eater,Twos complement: Negative numbers in binary,Two's complement: negative numbers in binary,13.8,build / tutorial,https://www.youtube.com/watch?v=4qH4unVtJkE,,1300000,4qH4unVtJkE
A,companion,binary & number representation,everything-is-ones-and-zeros; how-a-computer-stores-a-number; storing-and-computing,CrashCourse,Representing Numbers and Letters with Binary: Crash Course Computer Science #4,Computer Science 4: representing numbers and letters with binary,10.8,lesson series,https://www.youtube.com/watch?v=1GSjbWt0c9M,,2200000,1GSjbWt0c9M
A,companion,binary & number representation,everything-is-ones-and-zeros,Josh's Channel,"How Binary Works, and the Power of Abstraction","How binary works, and the power of abstraction",15.3,explainer,https://www.youtube.com/watch?v=PMpNhbMjDj0,,321000,PMpNhbMjDj0
A,companion,binary & number representation; programming practice,numbers-a-computer-can-hold; how-a-computer-stores-a-number,PurpleMind,This Coding Mistake Cost $370 Million,The coding mistake that cost $370 million: Ariane 5 overflow,19.8,explainer,https://www.youtube.com/watch?v=Qehl4h5MDsg,,23000,Qehl4h5MDsg
A,companion,binary & number representation; numerical methods,how-a-computer-stores-a-number,SimonDev,"Wait, so comparisons in floating point only just KINDA work? What DOES work?",Floating-point comparisons only kind of work,15.7,coding project,https://www.youtube.com/watch?v=Oo89kOv9pVk,,254000,Oo89kOv9pVk
A,companion,binary & number representation,how-a-computer-stores-a-number; numbers-a-computer-can-hold,Spanning Tree,How Floating-Point Numbers Are Represented,How floating-point numbers are represented (9 min),9.9,explainer,https://www.youtube.com/watch?v=bbkcEiUjehk,,159000,bbkcEiUjehk
A,companion,binary & number representation; programming practice,numbers-a-computer-can-hold; how-a-computer-stores-a-number,Stand-up Maths,Chicago has a problem until the year 2083.,Chicago has a problem until 2083: parking tickets and a date overflow,20.9,explainer,https://www.youtube.com/watch?v=4l16zI0sYRs,,648000,4l16zI0sYRs
A,companion,binary & number representation; programming practice,numbers-a-computer-can-hold,Stand-up Maths,Why didn't GPS crash?,Why didn't GPS crash? Week-number rollover,12.3,explainer,https://www.youtube.com/watch?v=iyz7dSnZItw,,376000,iyz7dSnZItw
A,companion,binary & number representation; numerical methods,how-a-computer-stores-a-number,Stand-up Maths,Why do calculators get this wrong? (We don't know!),Why calculators get this wrong,12.3,explainer,https://www.youtube.com/watch?v=7LKy3lrkTRA,,2300000,7LKy3lrkTRA
A,companion,binary & number representation; numbers,numbers-and-their-families; everything-is-ones-and-zeros,Up and Atom,Why We Might Use Different Numbers in the Future,Why we might use different number bases,11.9,explainer,https://www.youtube.com/watch?v=JS40jPaogM4,,800000,JS40jPaogM4
A,companion,calculus,rules-for-change,3Blue1Brown,"Derivative formulas through geometry | Chapter 3, Essence of calculus",Derivative formulas through geometry,17.6,explainer,https://www.youtube.com/watch?v=S0_qX4VJhMQ,,3500000,S0_qX4VJhMQ
A,companion,calculus,approaching-a-limit; getting-closer,3Blue1Brown,"Limits, L'Hôpital's rule, and epsilon delta definitions | Chapter 7, Essence of calculus","Limits, L'Hopital and epsilon-delta",18.4,explainer,https://www.youtube.com/watch?v=kfF40MiS7zA,,2600000,kfF40MiS7zA
A,companion,calculus,approaching-a-limit; how-fast-right-now,3Blue1Brown,The essence of calculus,The essence of calculus (series opener),17.1,explainer,https://www.youtube.com/watch?v=WUvTyaaNkzM,,11000000,WUvTyaaNkzM
A,companion,calculus,how-fast-right-now; rates-of-change,3Blue1Brown,"The paradox of the derivative | Chapter 2, Essence of calculus",The paradox of the derivative: speed at an instant,16.8,explainer,https://www.youtube.com/watch?v=9vKqVkMQHKk,,4400000,9vKqVkMQHKk
A,companion,calculus,rules-for-change,3Blue1Brown,"Visualizing the chain rule and product rule | Chapter 4, Essence of calculus","Chain rule and product rule, visualised",15.9,explainer,https://www.youtube.com/watch?v=YG15m2VwSjA,,2300000,YG15m2VwSjA
A,companion,calculus; history,approaching-a-limit; getting-closer,Up and Atom,3 Paradoxes That Gave Us Calculus,Three paradoxes that gave us calculus,13.6,explainer,https://www.youtube.com/watch?v=EbHqtENNnSY,https://nebula.tv/videos/up-and-atom-3-paradoxes-that-gave-us-calculus/,834000,EbHqtENNnSY
A,companion,colour & images,flexible-images; designing-for-many-screens,Captain Disillusion,CD / Aspect Ratio,CD / Aspect ratio (3 min),3.2,explainer,https://www.youtube.com/watch?v=g5ZgUIobSj0,https://nebula.tv/videos/captaindisillusion-cd-aspect-ratio/,1300000,g5ZgUIobSj0
A,companion,colour & images,variables-and-colour; colour-contrast-and-text-size,Captain Disillusion,CD / Color,CD / Color: how screens mix light into colour,7.0,explainer,https://www.youtube.com/watch?v=FTKP0Y9MVus,https://nebula.tv/videos/captaindisillusion-cd-color/,2800000,FTKP0Y9MVus
A,build seed,colour & images; simulation,drawing-frames-with-javascript; how-a-browser-draws-a-frame,Captain Disillusion,CD / Frame Rate,CD / Frame rate (4 min),4.2,explainer,https://www.youtube.com/watch?v=DyqjTZHRdRs,https://nebula.tv/videos/captaindisillusion-cd-frame-rate/,1600000,DyqjTZHRdRs
A,companion,colour & images; compression & error correction,images-and-file-size; flexible-images,Captain Disillusion,CD / Resolution,CD / Resolution,5.6,explainer,https://www.youtube.com/watch?v=1unkluyh2Ks,https://nebula.tv/videos/captaindisillusion-cd-resolution/,1900000,1unkluyh2Ks
A,companion,colour & images; compression & error correction,image-formats-and-compression,Captain Disillusion,CD / The Horrors of the Alpha Channel,CD / The horrors of the alpha channel: transparency in image formats,7.0,explainer,https://www.youtube.com/watch?v=XobSAXZaKJ8,https://nebula.tv/videos/captaindisillusion-cd-the-horrors-of-the-alpha-channel/,2000000,XobSAXZaKJ8
A,companion,colour & images; 3D graphics,drawing-frames-with-javascript; pictures-worth-numbers,CrashCourse,Screens & 2D Graphics: Crash Course Computer Science #23,Computer Science 23: screens and 2D graphics,11.5,lesson series,https://www.youtube.com/watch?v=7Jr0SFMQ4Rs,,398000,7Jr0SFMQ4Rs
A,companion,colour & images; probability,pictures-worth-numbers; leaving-it-to-chance,Stand-up Maths,The magic of adding random noise to black and white images.,Adding random noise to black-and-white images: dithering,20.1,explainer,https://www.youtube.com/watch?v=kT4p1GXq4HY,,881000,kT4p1GXq4HY
A,companion,colour & images,variables-and-colour,Technology Connections,Brown; color is weird,Brown: colour is weird (brown is dark orange in context),21.2,explainer,https://www.youtube.com/watch?v=wh4aWZRtTwU,,5200000,wh4aWZRtTwU
A,companion,colour & images,variables-and-colour; colour-contrast-and-text-size,Technology Connections,The Weird World in RGB,The weird world in RGB: how three lights make every colour,22.3,explainer,https://www.youtube.com/watch?v=uYbdx4I7STg,,2600000,uYbdx4I7STg
A,companion,colour & images; numerical methods,variables-and-colour; image-formats-and-compression,minutephysics,Computer Color is Broken,Computer colour is broken: gamma and averaging colours wrongly (4 min),4.2,explainer,https://www.youtube.com/watch?v=LKnqECcg6Gw,https://nebula.tv/videos/minute-physics-computer-color-is-broken/,4200000,LKnqECcg6Gw
A,companion,complex numbers,when-there-is-no-real-answer; complex-roots,Josh's Channel,The Square Root Of Negative One,The square root of negative one,11.2,explainer,https://www.youtube.com/watch?v=lFT2hwsCMls,,54000,lFT2hwsCMls
A,companion,complex numbers,when-there-is-no-real-answer; complex-roots,Up and Atom,Imaginary Numbers Are Just Regular Numbers,Imaginary numbers are just regular numbers,9.0,explainer,https://www.youtube.com/watch?v=sZrOxm5Gszk,,387000,sZrOxm5Gszk
A,companion,complex numbers; history,complex-roots; when-there-is-no-real-answer,Veritasium,How Imaginary Numbers Were Invented,How imaginary numbers were invented: the cubic formula story,23.5,explainer,https://www.youtube.com/watch?v=cUzklzVXJwo,,22000000,cUzklzVXJwo
A,companion,complex numbers; history,when-there-is-no-real-answer; complex-roots,Welch Labs,Imaginary Numbers Are Real [Part 1: Introduction],"Imaginary numbers are real, part 1 (series of 13 short videos)",5.8,explainer,https://www.youtube.com/watch?v=T647CGsuOVU,,8500000,T647CGsuOVU
A,companion,complex numbers; algebra & equations,complex-roots; solving-for-x,Welch Labs,Imaginary Numbers Are Real [Part 3: Cardan's Problem],"Imaginary numbers are real, part 3: Cardan's cubic problem",4.7,explainer,https://www.youtube.com/watch?v=N9QOLrfcKNc,,1500000,N9QOLrfcKNc
A,companion,complex numbers,complex-roots,Welch Labs,Imaginary Numbers Are Real [Part 6: The Complex Plane],"Imaginary numbers are real, part 6: the complex plane",3.6,explainer,https://www.youtube.com/watch?v=z5IG_6_zPDo,,1000000,z5IG_6_zPDo
A,companion,compression & error correction; binary & number representation,bits-that-flip,3Blue1Brown,But what are Hamming codes? The origin of error correction,Hamming codes: error correction from parity bits,20.1,explainer,https://www.youtube.com/watch?v=X8jsijhllIA,,3000000,X8jsijhllIA
A,companion,compression & error correction; binary & number representation; programming practice,bits-that-flip,3Blue1Brown,Hamming codes part 2: The one-line implementation,Hamming codes part 2: the whole thing as one line of XOR,16.8,explainer,https://www.youtube.com/watch?v=b3NxrZOu_CE,,950000,b3NxrZOu_CE
A,companion,compression & error correction; binary & number representation,bits-that-flip,Ben Eater,Checksums and Hamming distance,Checksums and Hamming distance,28.4,build / tutorial,https://www.youtube.com/watch?v=ppU41c15Xho,,240000,ppU41c15Xho
A,companion,compression & error correction; binary & number representation,bits-that-flip,Ben Eater,Error detection: Parity checking,Error detection: parity checking,21.7,build / tutorial,https://www.youtube.com/watch?v=MgkhrBSjhag,,390000,MgkhrBSjhag
A,companion,compression & error correction; how computers work,bits-that-flip,Ben Eater,What is error correction? Hamming codes in hardware,Hamming codes in hardware,36.8,build / tutorial,https://www.youtube.com/watch?v=h0jloehRKas,,264000,h0jloehRKas
A,companion,compression & error correction; colour & images,image-formats-and-compression; images-and-file-size,Branch Education,How are Images Compressed?  [46MB ↘↘ 4.07MB] JPEG In Depth,"How images are compressed: JPEG in depth, 46MB to 4MB",18.8,explainer,https://www.youtube.com/watch?v=Kv1Hiv3ox8I,https://nebula.tv/videos/brancheducation-how-are-images-compressed-46mb-407mb-jpeg-in-depth/,4100000,Kv1Hiv3ox8I
A,companion,compression & error correction,image-formats-and-compression; images-and-file-size,CrashCourse,Compression: Crash Course Computer Science #21,Computer Science 21: compression,12.8,lesson series,https://www.youtube.com/watch?v=OtDxDvCpPL4,,599000,OtDxDvCpPL4
A,companion,compression & error correction; colour & images,image-formats-and-compression; images-and-file-size,Reducible,How PNG Works: Compromising Speed for Quality,How PNG works: lossless compression step by step,32.0,explainer,https://www.youtube.com/watch?v=EFUYNoFRHQI,,750000,EFUYNoFRHQI
A,companion,compression & error correction; binary & number representation,image-formats-and-compression,Reducible,Huffman Codes: An Information Theory Perspective,Huffman codes: shorter codes for common symbols,29.2,explainer,https://www.youtube.com/watch?v=B3y0RsVCyrw,,289000,B3y0RsVCyrw
A,companion,compression & error correction; colour & images; trigonometry & waves,image-formats-and-compression; images-and-file-size,Reducible,The Unreasonable Effectiveness of JPEG: A Signal Processing Approach,How JPEG works: why photos compress so well,34.8,explainer,https://www.youtube.com/watch?v=0me3guauqOU,,1200000,0me3guauqOU
A,companion,compression & error correction; binary & number representation,bits-that-flip,Spanning Tree,Hamming Codes - How Data Corrects Itself,Hamming codes: how data corrects itself (7 min),7.5,explainer,https://www.youtube.com/watch?v=NQ4gLJYspdA,,72000,NQ4gLJYspdA
A,companion,compression & error correction; trigonometry & waves; binary & number representation,waves; everything-is-ones-and-zeros,Technology Connections,Nyquist-Shannon; The Backbone of Digital Sound,"Nyquist-Shannon: the backbone of digital sound, sampling a wave",17.6,explainer,https://www.youtube.com/watch?v=pWjdWCePgvA,,595000,pWjdWCePgvA
A,companion,compression & error correction; binary & number representation; trigonometry & waves,waves; everything-is-ones-and-zeros,Technology Connections,Sound By Numbers: The Rise of Digital Sound,Sound by numbers: the rise of digital sound,14.2,explainer,https://www.youtube.com/watch?v=Gd_mhBf_FJA,,460000,Gd_mhBf_FJA
A,companion,compression & error correction; binary & number representation,everything-is-ones-and-zeros; image-formats-and-compression,Up and Atom,Intro to Information Theory | Digital Communication | Information Technology,Intro to information theory,10.2,explainer,https://www.youtube.com/watch?v=_PG-jJKB_do,,200000,_PG-jJKB_do
A,companion,compression & error correction; binary & number representation,bits-that-flip; everything-is-ones-and-zeros,Veritasium,I built a QR code with my bare hands to see how it works,Building a QR code by hand: encoding and error correction,35.2,explainer,https://www.youtube.com/watch?v=w5ebcowAJD8,,9600000,w5ebcowAJD8
A,companion,counting & combinatorics; logic,counting-carefully,Spanning Tree,What Is the Pigeonhole Principle?,The pigeonhole principle,8.4,explainer,https://www.youtube.com/watch?v=B2A2pGrDG8I,,3500000,B2A2pGrDG8I
A,companion,counting & combinatorics; sets; geometry,counting-carefully; collections-without-repeats,Stand-up Maths,How does Dobble (Spot It) work?,How Dobble (Spot It) works,28.6,explainer,https://www.youtube.com/watch?v=VTDKqW_GLkw,,1400000,VTDKqW_GLkw
A,companion,counting & combinatorics; exponentials & logarithms; binary & number representation,counting-carefully; doubling-and-halving,Stand-up Maths,How many different Youtube videos are possible?,How many different YouTube videos are possible? Counting IDs,16.6,explainer,https://www.youtube.com/watch?v=5Yy_unGaD-w,,438000,5Yy_unGaD-w
A,companion,counting & combinatorics,orders-and-choices; counting-carefully,Stand-up Maths,"Matt Explains: Binomial Coefficients [featuring: choose function, pascal's triangle]","Binomial coefficients, choose and Pascal's triangle",11.8,explainer,https://www.youtube.com/watch?v=Pcgvv6T_bD8,,117000,Pcgvv6T_bD8
A,companion,counting & combinatorics; probability,orders-and-choices; chances-that-combine,Stand-up Maths,"Matt Explains: The Lottery [featuring: Choose Function, Infinite Geometric Series]",The lottery: choose function and geometric series,16.9,explainer,https://www.youtube.com/watch?v=lP58mP8Wchc,,251000,lP58mP8Wchc
A,companion,counting & combinatorics; sets,counting-every-outfit; counting-carefully,Stand-up Maths,The fewest items of clothes to never repeat an outfit.,The fewest clothes to never repeat an outfit,17.3,explainer,https://www.youtube.com/watch?v=yoR2obq4YUw,,405000,yoR2obq4YUw
A,companion,cryptography; exponentials & logarithms; binary & number representation,doubling-and-halving; numbers-a-computer-can-hold,3Blue1Brown,How secure is 256 bit security?,How big 2^256 is; a feel for powers of two,5.1,explainer,https://www.youtube.com/watch?v=S9JGmA5_unY,,3600000,S9JGmA5_unY
A,companion,data files & databases; algorithms & complexity,designing-a-table-before-you-build-it; asking-questions-of-a-table,Spanning Tree,Understanding B-Trees: The Data Structure Behind Modern Databases,B-trees: the data structure behind databases,12.7,explainer,https://www.youtube.com/watch?v=K1a2Bk8NrYQ,,1100000,K1a2Bk8NrYQ
A,companion,data files & databases; programming practice,designing-a-table-before-you-build-it; storing-and-computing,Stand-up Maths,How Roman numerals broke the official dog database.,How Roman numerals broke the official dog database,15.5,explainer,https://www.youtube.com/watch?v=jMxoGqsmk5Y,,873000,jMxoGqsmk5Y
A,companion,data files & databases; programming practice,exporting-a-query-to-a-file; loading-a-real-dataset,Stand-up Maths,UK Government loses data because of Excel mistake.,UK Government loses data because of an Excel mistake,16.3,explainer,https://www.youtube.com/watch?v=zUp8pkoeMss,,469000,zUp8pkoeMss
A,companion,data files & databases; programming practice,loading-a-real-dataset; exporting-a-query-to-a-file,Stand-up Maths,When Spreadsheets Attack!,When spreadsheets attack: gene names turned into dates,14.5,explainer,https://www.youtube.com/watch?v=yb2zkxHDfUE,,308000,yb2zkxHDfUE
A,companion,design & accessibility; colour & images,colour-contrast-and-text-size; variables-and-colour,Answer in Progress,how dark mode killed good design,How dark mode killed good design,13.2,investigation,https://www.youtube.com/watch?v=Ieq5sNEoc1E,,1200000,Ieq5sNEoc1E
A,companion,design & accessibility,planning-a-site; critique-and-reflection,Tantacrul,Music Software & Bad Interface Design: Avid’s Sibelius,"Bad interface design: Sibelius, a model for critiquing an interface",21.6,explainer,https://www.youtube.com/watch?v=dKx1wnXClcI,https://nebula.tv/videos/tantacrul-music-software-bad-interface-design-avids-sibelius/,1700000,dKx1wnXClcI
